FNTotalDishonest,FNTotalDishonest_HL,FNTotalHonest,FNTotalHonest_HL,QPQ2HL0,QPQ2HL1,QPQ2TH0,QPQ2TH1,QPQHL,QPQTH,QPQversion,UtilityDishonest,UtilityDishonest_HL,UtilityHonest,UtilityHonest_HL,alpha,betafactor,clusters,numliars,playerperclusters,players,rounds
0.08057142857142857,0.011904761904761904,0.015140350877192982,0.025146198830409357,,,,,100,0.97,1,0.0006525697764962722,0.0003568773822298029,0.0003386423860063383,0.0003930525763490518,,1.2,8,7,64,64,1000
0.003285714285714286,0.0,0.011964912280701755,0.013723196881091618,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0015672465448308022,0.0003483203935461997,0.00036810867925390455,0.0005359442796641559,1.0,1.2,8,7,8,64,1000
0.04657142857142857,0.02396825396825397,0.01087719298245614,0.014152046783625732,,,,,100,0.97,1,0.0006265736740580328,0.0003531807887096847,0.00032161774286722407,0.00037061640267544864,,1.2,8,7,64,64,1000
0.0,0.0,3.508771929824561e-05,3.898635477582846e-05,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011163752546012548,0.000523244735551005,0.0003348842140007548,0.00041666899728348705,1.0,1.2,8,7,8,64,1000
0.07128571428571429,0.009841269841269842,0.012087719298245614,0.021228070175438596,,,,,100,0.97,1,0.0007625321216093689,0.00023739636447708232,0.00036092785749021396,0.0004445396588233879,,1.2,8,7,64,64,1000
0.009428571428571429,0.0,0.0035789473684210526,0.005263157894736842,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0010383453732619146,0.0003672270293160292,0.000317076185515287,0.0003987730581146164,1.0,1.2,8,7,8,64,1000
0.054,0.010634920634920634,0.01056140350877193,0.015730994152046783,,,,,100,0.97,1,0.00047917673053851076,0.00032185428787882196,0.0003829463758536166,0.00039579546928283915,,1.2,8,7,64,64,1000
0.033857142857142856,0.0,0.009105263157894736,0.01368421052631579,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009762741165666658,0.00039411739158376724,0.0003481878014059571,0.0004082240689801335,1.0,1.2,8,7,8,64,1000
0.06357142857142857,0.01904761904761905,0.011982456140350877,0.017992202729044834,,,,,100,0.97,1,0.0007232329496621505,0.00040076630326536897,0.0003277685904901605,0.0003814894315658799,,1.2,8,7,64,64,1000
0.0,0.0,0.002157894736842105,0.0023586744639376217,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0011386255772515182,0.0002939717804909096,0.0002846797014552831,0.0003861163148154731,1.0,1.2,8,7,8,64,1000
0.048,0.022222222222222223,0.010350877192982456,0.013060428849902534,,,,,100,0.97,1,0.0001927310879352913,0.0002859382366090007,0.0003485939999560375,0.0003154262913016138,,1.2,8,7,64,64,1000
0.01842857142857143,0.0,0.00980701754385965,0.013021442495126706,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0015310186332830895,0.0007016467572029962,0.0003226061832686691,0.00045142409000540257,1.0,1.2,8,7,8,64,1000
0.06457142857142857,0.05126984126984127,0.013666666666666667,0.016549707602339182,,,,,100,0.97,1,0.0007567851343879704,0.0005640879042469992,0.00033246654578089954,0.0003726979853806121,,1.2,8,7,64,64,1000
0.0,0.0,0.0013333333333333333,0.0014814814814814814,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009816681119995225,0.0005999000228266675,0.0003333255060620755,0.00036694397789868455,1.0,1.2,8,7,8,64,1000
0.062142857142857146,0.00873015873015873,0.007421052631578947,0.014619883040935672,,,,,100,0.97,1,0.0005071741967254424,0.00043674909119242986,0.0003752863727944298,0.0003867177718251214,,1.2,8,7,64,64,1000
0.0,0.0,7.017543859649122e-05,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0014052989847130053,0.0003416406933707607,0.0002732494833588825,0.0003962542254671444,1.0,1.2,8,7,8,64,1000
0.06528571428571428,0.021746031746031746,0.011210526315789473,0.01658869395711501,,,,,100,0.97,1,0.0012819896754812943,0.0006960506216783714,0.0003659022516409984,0.000442990828237402,,1.2,8,7,64,64,1000
0.0005714285714285715,0.0009523809523809524,0.012596491228070175,0.01253411306042885,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0013724409016337737,0.0006874442898292759,0.0003935209488583339,0.0004890509650610731,1.0,1.2,8,7,8,64,1000
0.056,0.013492063492063493,0.015385964912280703,0.021793372319688108,,,,,100,0.97,1,0.0008890945086912791,0.00047222295608444995,0.0003745219452234478,0.0003995455114081905,,1.2,8,7,64,64,1000
0.0,0.0,0.0,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0010852097350889749,0.00028209546769955747,0.00023937693563855016,0.00034274160067448485,1.0,1.2,8,7,8,64,1000
0.06328571428571429,0.02349206349206349,0.009508771929824562,0.014619883040935672,,,,,100,0.97,1,0.0003666121623139799,0.00031892631189893363,0.0003016826912687671,0.0002991964351935595,,1.2,8,7,64,64,1000
0.0007142857142857143,0.0025396825396825397,0.0002807017543859649,7.797270955165692e-05,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0010880654305134357,0.00030798492104523723,0.00032794008711086397,0.0003944238884138554,1.0,1.2,8,7,8,64,1000
0.060571428571428575,0.023015873015873017,0.01356140350877193,0.01935672514619883,,,,,100,0.97,1,0.000489865339018553,0.00028141685159387115,0.0003133496335258866,0.0003518060039606282,,1.2,8,7,64,64,1000
